id,nb_voix,num_tour,année,candidat_id,parti_politique_id
1,20298,1,2017,1,
2,15152,1,2017,2,
3,14384,1,2017,3,
4,6771,1,2017,4,
5,6464,1,2017,5,
6,2299,1,2017,6,
7,688,1,2017,7,
8,604,1,2017,8,
9,434,1,2017,9,
10,431,1,2017,10,
11,100,1,2017,11,
12,48232,2,2017,1,
13,10195,2,2017,4,
14,21829,1,2022,1,
15,17798,1,2022,3,
16,7524,1,2022,4,
17,5441,1,2022,12,
18,3850,1,2022,13,
19,3276,1,2022,14,
20,1532,1,2022,15,
21,1221,1,2022,16,
22,1079,1,2022,9,
23,1020,1,2022,6,
24,509,1,2022,7,
25,319,1,2022,10,
26,45065,2,2022,1,
27,13842,2,2022,4,
